Longitud (m);Ancho de Puente (m);Sep Vigas Longitudinales (m);N° Paneles;Altura (m);Disposicion de Arriostre;Forma de Arriostre;Dim. Arriostre;Forma de Cordones;Dimension de Cordon Sup/Inf;Forma de Diagonales;Dim. Diag. S/I;Forma de Montante;Dim. Montante;Peso total (ton)
59;11.6;2.1;6;6.7;Cruz;T;150x150x12.5;Cajon HSS;412x422x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;132.46
59;11.6;2.1;6;6.7;Cruz;L;150x150x12.5;Cajon HSS;422x432x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;135.91
59;11.6;2.1;6;6.8;Cruz;T;150x150x12.5;Cajon HSS;432x442x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;139.45
59;11.6;2.1;6;6.8;Cruz;L;150x150x12.5;Cajon HSS;442x412x25.0;Cajon HSS;420x390x19.0;Cajon HSS;210x210x12.5;164.97
59;11.6;2.1;6;6.9;Cruz;T;150x150x12.5;Cajon HSS;412x422x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;132.64
59;11.6;2.1;6;6.9;Cruz;L;150x150x12.5;Cajon HSS;422x432x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;136.09
60;11.6;2.1;6;6;Cruz;T;150x150x12.5;Cajon HSS;435x445x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;141.38
60;11.6;2.1;6;6;Cruz;L;150x150x12.5;Cajon HSS;445x415x25.0;Cajon HSS;420x390x19.0;Cajon HSS;210x210x12.5;167.29
60;11.6;2.1;6;6.1;Cruz;T;150x150x12.5;Cajon HSS;415x425x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;134.49
60;11.6;2.1;6;6.1;Cruz;L;150x150x12.5;Cajon HSS;425x435x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;137.98
60;11.6;2.1;6;6.2;Cruz;T;150x150x12.5;Cajon HSS;435x445x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;141.57
60;11.6;2.1;6;6.2;Cruz;L;150x150x12.5;Cajon HSS;445x415x25.0;Cajon HSS;420x390x19.0;Cajon HSS;210x210x12.5;167.51
60;11.6;2.1;6;6.3;Cruz;T;150x150x12.5;Cajon HSS;415x425x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;134.67
60;11.6;2.1;6;6.3;Cruz;L;150x150x12.5;Cajon HSS;425x435x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;138.17
60;11.6;2.1;6;6.4;Cruz;T;150x150x12.5;Cajon HSS;435x445x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;141.76
60;11.6;2.1;6;6.4;Cruz;L;150x150x12.5;Cajon HSS;445x415x25.0;Cajon HSS;420x390x19.0;Cajon HSS;210x210x12.5;167.74
60;11.6;2.1;6;6.5;Cruz;T;150x150x12.5;Cajon HSS;415x425x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;134.85
60;11.6;2.1;6;6.5;Cruz;L;150x150x12.5;Cajon HSS;425x435x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;138.35
60;11.6;2.1;6;6.6;Cruz;T;150x150x12.5;Cajon HSS;435x445x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;141.94
60;11.6;2.1;6;6.6;Cruz;L;150x150x12.5;Cajon HSS;445x415x25.0;Cajon HSS;420x390x19.0;Cajon HSS;210x210x12.5;167.96
60;11.6;2.1;6;6.7;Cruz;T;150x150x12.5;Cajon HSS;415x425x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;135.03
60;11.6;2.1;6;6.7;Cruz;L;150x150x12.5;Cajon HSS;425x435x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;138.53
60;11.6;2.1;6;6.8;Cruz;T;150x150x12.5;Cajon HSS;435x445x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;142.13
60;11.6;2.1;6;6.8;Cruz;L;150x150x12.5;Cajon HSS;445x415x25.0;Cajon HSS;420x390x19.0;Cajon HSS;210x210x12.5;168.18
60;11.6;2.1;6;6.9;Cruz;T;150x150x12.5;Cajon HSS;415x425x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;135.21
60;11.6;2.1;6;6.9;Cruz;L;150x150x12.5;Cajon HSS;425x435x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;138.72
